,acceleration_input,steering_input,acceleration_measurement,orientation_measurement,positions_x_ground_truth,positions_y_ground_truth,velocities_ground_truth,timestamps
0,0,0,0.004036213217469552,0.09771164403298652,0.0,0.0,5.0,0.05
1,0,0,-0.22351490523873505,-0.24470941467267707,0.25,0.0,5.0,0.1
2,0,0,-0.2937451904590072,0.32177033636062163,0.5,0.0,5.0,0.15000000000000002
3,0,0,0.09884858646280238,-0.1561347826061031,0.75,0.0,5.0,0.2
4,0,0,0.2688157745599191,-0.12569794712474205,1.0,0.0,5.0,0.25
5,0,0,-0.135366813351415,-0.11257604753928924,1.25,0.0,5.0,0.30000000000000004
6,0,0,-0.10856941517509444,0.02517334705497476,1.5,0.0,5.0,0.35000000000000003
7,0,0,-0.0925875671883594,0.049636004756629756,1.75,0.0,5.0,0.4
8,0,0,0.17175721764040133,-0.06264486035814047,2.0,0.0,5.0,0.45
9,0,0,-0.08563956479098683,-0.2076378669583554,2.25,0.0,5.0,0.5
10,0,0,-0.14217793456421754,-0.09104018669604584,2.5,0.0,5.0,0.55
11,0,0,-0.41495769027125173,0.183557827014024,2.75,0.0,5.0,0.6000000000000001
12,0,0,0.24530055345897603,-0.05700742290386501,3.0,0.0,5.0,0.65
13,0,0,-0.07717890786544258,-0.044741730785813616,3.25,0.0,5.0,0.7000000000000001
14,0,0,0.20007131941781645,0.14877978685109225,3.5,0.0,5.0,0.75
15,0,0,-0.5129134842910874,0.07342932555015155,3.75,0.0,5.0,0.8
16,0,0,0.10646761787456707,0.36292453946939035,4.0,0.0,5.0,0.8500000000000001
17,0,0,0.13071436099960315,-0.0777627041364427,4.25,0.0,5.0,0.9
18,0,0,0.29094732892898323,-0.016887223573605597,4.5,0.0,5.0,0.9500000000000001
19,0,0,0.018661528268157392,0.37376256511749056,4.75,0.0,5.0,1.0
20,0,0,-0.02160597197263833,-0.10611821982943465,5.0,0.0,5.0,1.05
21,0,0,0.30557860133386694,0.2530279412928605,5.25,0.0,5.0,1.1
22,0,0,0.040362982380638165,-0.042464072178955176,5.5,0.0,5.0,1.1500000000000001
23,0,0,0.18260002551190407,-0.0832191973975358,5.75,0.0,5.0,1.2000000000000002
24,0,0,-0.0390426847151096,0.36671314196303934,6.0,0.0,5.0,1.25
25,0,0,-0.21365067797411919,0.1541006856280127,6.25,0.0,5.0,1.3
26,0,0,-0.0020323502036558366,-0.2206128888503503,6.5,0.0,5.0,1.35
27,0,0,0.09517809079508763,0.19797106247980478,6.75,0.0,5.0,1.4000000000000001
28,0,0,0.24488127168064217,0.03130125433888869,7.0,0.0,5.0,1.4500000000000002
29,0,0,-0.008505375492885641,-0.07342805321806807,7.25,0.0,5.0,1.5
30,0,0,-0.12290954162404609,0.10462424877910953,7.5,0.0,5.0,1.55
