,acceleration_input,steering_input,acceleration_measurement,orientation_measurement,positions_x_ground_truth,positions_y_ground_truth,velocities_ground_truth,timestamps
0,0,0,0.20294009754561776,-0.09124797004440438,0.25,0.0,5.0,0.0
1,0,0,-0.1527136627051316,0.45533755880915977,0.5,0.0,5.0,0.05
2,0,0,-0.0797000856200758,-0.17117245877307027,0.75,0.0,5.0,0.1
3,0,0,0.6367175707335875,-0.22275639929020521,1.0,0.0,5.0,0.15000000000000002
4,0,0,0.04485653605764217,0.009689719127914661,1.25,0.0,5.0,0.2
5,0,0,0.023402544406571437,0.03932476465920765,1.5,0.0,5.0,0.25
6,0,0,0.09877286036534344,0.2582585322572443,1.75,0.0,5.0,0.30000000000000004
7,0,0,-0.22598782853015634,0.038764915673968926,2.0,0.0,5.0,0.35000000000000003
8,0,0,-0.02393181510588939,-0.02860964261297418,2.25,0.0,5.0,0.4
9,0,0,0.23437236631416636,-0.09664270753142033,2.5,0.0,5.0,0.45
10,0,0,0.36281478175699244,0.08620609263940654,2.75,0.0,5.0,0.5
11,0,0,-0.13298180188092237,0.11405631898433942,3.0,0.0,5.0,0.55
12,0,0,-0.10036665309796469,-0.2641168402972383,3.25,0.0,5.0,0.6000000000000001
13,0,0,0.28122611313665297,0.20187320993537866,3.5,0.0,5.0,0.65
14,0,0,-0.19365168945419486,0.23190978852709293,3.75,0.0,5.0,0.7000000000000001
15,0,0,-0.13754166484804703,0.2556469758856144,4.0,0.0,5.0,0.75
16,0,0,0.20627661423675067,-0.12524648571819424,4.25,0.0,5.0,0.8
17,0,0,-0.3053403017110346,0.17586850151592437,4.5,0.0,5.0,0.8500000000000001
18,0,0,-0.02347948680110415,-0.03576608716571726,4.75,0.0,5.0,0.9
19,0,0,0.08834682207158472,-0.16848067058433103,5.0,0.0,5.0,0.9500000000000001
20,0,0,-0.192614480553121,0.0035841782350185592,5.25,0.0,5.0,1.0
21,0,0,-0.11288874070046935,0.0596307469504096,5.5,0.0,5.0,1.05
22,0,0,0.16745439467455697,-0.13881828564079826,5.75,0.0,5.0,1.1
23,0,0,-0.08677714431974885,-0.1923945130995688,6.0,0.0,5.0,1.1500000000000001
24,0,0,-0.03753911969341354,0.0424012873788509,6.25,0.0,5.0,1.2000000000000002
25,0,0,0.17390755907291935,-0.2618822823695644,6.5,0.0,5.0,1.25
26,0,0,-0.09953109108457925,-0.21732596770132384,6.75,0.0,5.0,1.3
27,0,0,0.057955242297186516,-0.30573079252815916,7.0,0.0,5.0,1.35
28,0,0,-0.2019353052251315,0.20311687755671193,7.25,0.0,5.0,1.4000000000000001
29,0,0,-0.1732301076058947,0.08909372133991726,7.5,0.0,5.0,1.4500000000000002
30,0,0,0.01197762057686214,-0.20413560290719365,7.75,0.0,5.0,1.5
31,0,0,0.284523577387018,-0.2017749673332451,8.0,0.0,5.0,1.55
32,0,0,-0.17651566041098218,0.09610670605459226,8.25,0.0,5.0,1.6
33,0,0,-0.13844766222622337,-0.11949347118624697,8.5,0.0,5.0,1.6500000000000001
34,0,0,-0.02023326026894073,0.08602746855555915,8.75,0.0,5.0,1.7000000000000002
35,0,0,-0.5225935591323648,0.08549756443305463,9.0,0.0,5.0,1.75
36,0,0,0.050038778065581074,-0.34261886631159477,9.25,0.0,5.0,1.8
37,0,0,-0.10523394331933762,-0.11752295788426592,9.5,0.0,5.0,1.85
38,0,0,-0.09480679945153125,-0.28581392411149203,9.75,0.0,5.0,1.9000000000000001
39,0,0,-0.11646943587110986,0.03696009448183819,10.0,0.0,5.0,1.9500000000000002
40,0,0,0.02452744024266648,0.18130302944804813,10.25,0.0,5.0,2.0
41,0,0,0.4025835233711176,0.04255362480439115,10.5,0.0,5.0,2.0500000000000003
42,0,0,-0.13773154381662375,0.3561505922622051,10.75,0.0,5.0,2.1
43,0,0,0.3207320965363604,-0.005411153583511075,11.0,0.0,5.0,2.15
44,0,0,0.03929991730655194,-0.02390524503311724,11.25,0.0,5.0,2.2
45,0,0,0.10011570719213375,0.07646802837394612,11.5,0.0,5.0,2.25
46,0,0,-0.43085235843398184,-0.11839169736326904,11.75,0.0,5.0,2.3000000000000003
47,0,0,-0.25774907872558717,0.09902154889349428,12.0,0.0,5.0,2.35
48,0,0,0.08724768006897553,-0.030709584710802346,12.25,0.0,5.0,2.4000000000000004
49,0,0,-0.1249889640777774,0.41874437227630046,12.5,0.0,5.0,2.45
50,0,0,-0.09015114117394396,-0.34520241405827157,12.75,0.0,5.0,2.5
51,0,0,0.10605724573949432,-0.17464029273310427,13.0,0.0,5.0,2.5500000000000003
52,0,0,-0.0462633319224611,-0.21418827028468615,13.25,0.0,5.0,2.6
53,0,0,0.1636199783840388,0.029592569701061784,13.5,0.0,5.0,2.6500000000000004
54,0,0,0.19487204864876007,0.032640473597758804,13.75,0.0,5.0,2.7
55,0,0,0.07452721734187812,0.3953389681938573,14.0,0.0,5.0,2.75
56,0,0,0.2896450798261621,0.029557765562469748,14.25,0.0,5.0,2.8000000000000003
57,0,0,0.06616081557098533,0.21476841971150665,14.5,0.0,5.0,2.85
58,0,0,-0.19113465003417496,-0.09531150308076687,14.75,0.0,5.0,2.9000000000000004
59,0,0,-0.09467832213244089,-0.11323595345241051,15.0,0.0,5.0,2.95
60,0,0,-0.22883021197123782,-0.46134946442306907,15.25,0.0,5.0,3.0
61,0,0,-0.14229592937227684,0.1561559715377688,15.5,0.0,5.0,3.0500000000000003
62,0,0,0.047422653543723464,0.1246930756038255,15.75,0.0,5.0,3.1
63,0,0,-0.04589882738954249,-0.2520276590204314,16.0,0.0,5.0,3.1500000000000004
64,0,0,-0.012250545758763148,-0.20381315916237092,16.25,0.0,5.0,3.2
65,0,0,-0.2685968142918647,-0.24880713916757102,16.5,0.0,5.0,3.25
66,0,0,0.09710535833383332,-0.1434526718915787,16.75,0.0,5.0,3.3000000000000003
67,0,0,-0.09973003644443562,-0.3705273851013894,17.0,0.0,5.0,3.35
68,0,0,-0.09969471313695287,0.22934165992888192,17.25,0.0,5.0,3.4000000000000004
69,0,0,-0.1706015742824546,0.11171208518616192,17.5,0.0,5.0,3.45
70,0,0,-0.36341416295488005,0.15484286938788322,17.75,0.0,5.0,3.5
71,0,0,-0.03236267679159301,-0.07028328318515341,18.0,0.0,5.0,3.5500000000000003
72,0,0,0.24531740157585802,-0.03791068920470086,18.25,0.0,5.0,3.6
73,0,0,0.1888210601864479,0.012481719016839941,18.5,0.0,5.0,3.6500000000000004
74,0,0,0.3318324034309972,-0.1944624458611756,18.75,0.0,5.0,3.7
75,0,0,-0.26377745838747296,-0.2068401302803633,19.0,0.0,5.0,3.75
76,0,0,-0.0427540401244966,0.4330736479857416,19.25,0.0,5.0,3.8000000000000003
77,0,0,-0.2697289135427727,-0.15179333288480604,19.5,0.0,5.0,3.85
78,0,0,-0.22158173295467964,0.21242200609182285,19.75,0.0,5.0,3.9000000000000004
79,0,0,-0.05616411761956679,0.25292876448147145,20.0,0.0,5.0,3.95
80,0,0,0.3682239294528292,0.059717946424307916,20.25,0.0,5.0,4.0
81,0,0,-0.37463790543814357,0.10794792742729196,20.5,0.0,5.0,4.05
82,0,0,0.18867190120681968,-0.2462786049965808,20.75,0.0,5.0,4.1000000000000005
83,0,0,0.017986917411783914,-0.0014155614278924778,21.0,0.0,5.0,4.15
84,0,0,0.24566484347618767,-0.14994845225259712,21.25,0.0,5.0,4.2
85,0,0,0.0005692565805886069,-0.2729868050055128,21.5,0.0,5.0,4.25
86,0,0,-0.23179752416852165,0.056491476867348636,21.75,0.0,5.0,4.3
87,0,0,0.10393679561468734,0.19805027249111445,22.0,0.0,5.0,4.3500000000000005
88,0,0,-0.06660937453079672,0.26496443798561703,22.25,0.0,5.0,4.4
89,0,0,0.2961780941112396,0.03553627360779678,22.5,0.0,5.0,4.45
90,0,0,0.2927073418445464,-0.1671162089083177,22.75,0.0,5.0,4.5
91,0,0,0.15526285328720063,-0.07560686681481377,23.0,0.0,5.0,4.55
92,0,0,0.17111986013096261,0.042158563732043935,23.25,0.0,5.0,4.6000000000000005
93,0,0,-0.147455226924317,-0.3366238361315108,23.5,0.0,5.0,4.65
94,0,0,-0.11922315434348452,0.2915587056375415,23.75,0.0,5.0,4.7
95,0,0,-0.22481766919132473,0.08506618984384562,24.0,0.0,5.0,4.75
96,0,0,0.32044509259842996,-0.1474012371344666,24.25,0.0,5.0,4.800000000000001
97,0,0,-0.5027776839564887,-0.32456446716646487,24.5,0.0,5.0,4.8500000000000005
98,0,0,-0.21566288601979033,0.08417539645053053,24.75,0.0,5.0,4.9
99,0,0,0.010192985633373562,0.20570721087635682,25.0,0.0,5.0,4.95
100,0,0,0.10457240576234475,-0.008753714424932947,25.25,0.0,5.0,5.0
101,0,0,0.19327486697714802,-0.08033021024665432,25.5,0.0,5.0,5.050000000000001
102,0,0,0.1258063746282376,-0.1493355942685238,25.75,0.0,5.0,5.1000000000000005
103,0,0,0.018229829643548086,0.45044396554879845,26.0,0.0,5.0,5.15
104,0,0,0.08882022612704232,-0.06507843028993462,26.25,0.0,5.0,5.2
105,0,0,0.2586776369263513,-0.16143597641573387,26.5,0.0,5.0,5.25
106,0,0,0.31077521056231583,-0.1031027367199064,26.75,0.0,5.0,5.300000000000001
107,0,0,-0.16632173427889174,-0.015416641343341359,27.0,0.0,5.0,5.3500000000000005
108,0,0,0.016720969013885742,-0.037306298017770606,27.25,0.0,5.0,5.4
109,0,0,0.20647436649033477,-0.00034100547541187867,27.5,0.0,5.0,5.45
110,0,0,0.017994265045855034,0.14928996649028237,27.75,0.0,5.0,5.5
111,0,0,-0.09931241119565673,-0.021374688646966126,28.0,0.0,5.0,5.550000000000001
112,0,0,-0.14170426367559874,0.22610691353339796,28.25,0.0,5.0,5.6000000000000005
113,0,0,-0.19000647275091262,0.050686277782291435,28.5,0.0,5.0,5.65
114,0,0,-0.10402295003244828,-0.19551470977905572,28.75,0.0,5.0,5.7
115,0,0,0.04325973450203758,0.13907698599559537,29.0,0.0,5.0,5.75
116,0,0,-0.30508533810164223,0.5272191780437849,29.25,0.0,5.0,5.800000000000001
