,road,mse,mse_db
0,curve,870.3243499600629,29.396811343959953
1,straight_in_x,54775.342469193805,47.38585101559372
2,s_curve_constant_velocity,1933.7457711082998,32.86399376953661
3,s_curve_variable_velocity,514.0942884413253,27.11042778906531
