,gt_x,gt_y,xs_x,xs_y
295,73.49515185062114,11.63601774876715,80.62367749859898,13.27321513595182
296,73.72384143491364,11.739672521272524,80.85924572749902,13.386069120779052
297,73.95224660574485,11.843970264823454,81.09449027785652,13.499613296255012
298,74.18036460954428,11.948912315135862,81.32940805345922,13.613849000099195
299,74.40819267689193,12.054499995210978,81.56399594068314,13.72877755501891
300,74.63572802251447,12.16073461521398,81.79825080849493,13.844400268568252
301,74.86296784528234,12.267617472352,82.03216950845616,13.960718433006603
302,75.08990932820757,12.375149850751525,82.26574887472808,14.077733325156217
303,75.31654963844241,12.48333302133516,82.49898572407712,14.195446206259264
304,75.54288592727883,12.592168241697818,82.73187685588152,14.313858321834031
305,75.76891533014879,12.701656755982244,82.96441905214017,14.432970901530794
306,75.99463496662538,12.811799794753972,83.19660907748026,14.552785158986547
307,76.22004194042485,12.922598574875668,83.42844367916776,14.673302291679466
308,76.44513333940937,13.034054299380834,83.65991958711793,14.79452348078242
309,76.66990623559072,13.146168157346958,83.89103351390796,14.916449891016125
310,76.8943576851349,13.25894132376803,84.1217821547892,15.039082670501207
311,77.11848472836753,13.372374959426466,84.35216218770158,15.162422950610111
312,77.34228438978012,13.486470210764448,84.58217027328905,15.286471845817925
313,77.56575367803731,13.601228209754648,84.81180305491515,15.411230453552845
314,77.78888958598496,13.716650073770396,85.04105715868108,15.536699854045859
315,78.01168909065913,13.832736905455226,85.26992919344349,15.66288111017978
316,78.23414915329602,13.949489792591848,85.49841575083448,15.789775267337744
317,78.45626671934275,14.066909807970552,85.72651340528222,15.917383353250992
318,78.67803871846921,14.18499800925702,85.95421871403244,16.04570637784604
319,78.89946206458069,14.303755438859552,86.18152821717183,16.174745333091252
320,79.12053365583154,14.423183123795749,86.40843843765208,16.304501192842782
321,79.34125037463976,14.543282075558588,86.6349458813146,16.434974912689814
322,79.56160908770258,14.664053289981972,86.86104703691765,16.566167429799357
323,79.78160664601296,14.78549774710568,87.08673837616377,16.698079662760364
324,80.00123988487711,14.90761641103978,87.31201635372835,16.830712511427112
325,80.22050562393297,15.030410229828467,87.5368774072898,16.964066856762255
326,80.43940066716969,15.153880135313385,87.76131795756098,17.098143560679027
327,80.65792180294814,15.278027042996335,87.98533440832125,17.232943465882983
328,80.87606580402233,15.402851851901518,88.20892314645054,17.368467395713278
329,81.09382942756201,15.528355444437173,88.4320805419638,17.504716153982972
330,81.31120941517617,15.654538686256696,88.65480294804755,17.641690524819353
331,81.52820249293754,15.781402426119245,88.87708670109721,17.779391272503062
332,81.74480537140832,15.908947495749793,89.0989281207558,17.917819141307202
333,81.96101474566679,16.03717470969865,89.32032350995377,18.056974855335532
334,82.17682729533499,16.166084865200503,89.54126915495016,18.196859118360276
335,82.39223968460759,16.295678742032884,89.76176132537557,18.337472613659372
336,82.6072485622817,16.425957102374163,89.98179627427564,18.47881600385311
337,82.82185056178783,16.55692069066103,90.20137023815646,18.620889930740347
338,83.03604230122194,16.68857023344546,90.42047943703072,18.763695015134147
339,83.24982038337859,16.820906439251186,90.63912007446591,18.90723185669682
340,83.46318139578517,16.953929998429672,90.85728833763349,19.051501033774716
341,83.6761219107373,17.087641583015618,91.0749803973592,19.196503103232068
342,83.88863848533529,17.222041846581945,91.29219240817497,19.34223860028483
343,84.1007276615218,17.357131424094334,91.50892050837241,19.48870803833368
344,84.31238596612062,17.492910931765266,91.72516082005747,19.635911908796672
345,84.52360991087654,17.62938096690762,91.94090944920612,19.78385068094135
346,84.73439599249653,17.766542107787764,92.15616248572246,19.93252480171654
347,84.9447406926919,17.904394913478246,92.37091600349693,20.081934695583424
348,85.15464047822178,18.042939923709973,92.58516606046709,20.23208076434641
349,85.36409180093776,18.18217765872398,92.79890869867928,20.382963386983405
350,85.57309109782963,18.322108619122748,93.01213994435176,20.53458291947568
351,85.78163479107249,18.46273328572108,93.22485580793908,20.686939694637328
352,85.9897192880749,18.604052119396563,93.43705228419886,20.840034021944266
353,86.19734098152833,18.746065560939567,93.6487253522588,20.993866187362837
354,86.40449624945789,18.88877403090288,93.8598709756858,21.148436453177954
355,86.6111814552742,19.032177929450885,94.07048510255707,21.303745057820986
356,86.81739294782658,19.17627763620836,94.28056366553146,21.459792215696993
357,87.02312706145739,19.32107351010885,94.49010258192352,21.61657811701187
358,87.22838011605779,19.466565889242684,94.6990977537786,21.77410292759892
359,87.43314841712467,19.61275509070457,94.90754506794943,21.932366788745107
360,87.63742825581883,19.75964141044084,95.11544039617424,22.09136981701695
361,87.84121590902454,19.90722512309626,95.32277959515649,22.251112104086104
362,88.04450763941036,20.055506481860576,95.52955850664667,22.41159371655454
363,88.24729969549121,20.204485718314608,95.73577295752443,22.572814695779456
364,88.44958831169187,20.354163042276035,95.94141875988367,22.734775057697817
365,88.65136970841169,20.50453864164482,96.14649171111841,22.897474792650524
366,88.85264009209071,20.655612682248314,96.35098759401028,23.060913865206437
367,89.05339565527706,20.807385307686,96.55490217681837,23.225092213986073
368,89.25363257669578,20.95985663917393,96.75823121336964,23.390009751484794
369,89.45334702131893,21.113026775388875,96.96097044315145,23.555666363895956
370,89.65253514043712,21.26689579231209,97.16311559140641,23.722061910933846
371,89.85119307173237,21.42146374307287,97.36466236922737,23.88919622565609
372,90.04931693935235,21.57673065779174,97.56560647365548,24.057069114285966
373,90.2469028539861,21.7326965434234,97.76594358777957,24.225680356034683
374,90.44394691294104,21.88936138359937,97.96566938083643,24.395029702922983
375,90.64044520022146,22.04672513847041,98.1647795083138,24.56511687960299
376,90.8363937866084,22.2047877445486,98.36326961205468,24.73594158317957
377,91.03178872974092,22.36354911454925,98.56113532036315,24.907503483031608
378,91.22662607419896,22.52300913723253,98.758372248112,25.079802220632967
379,91.4209018515874,22.683167677244857,98.95497599685251,25.252837409373708
380,91.61461208062174,22.84402457496005,99.15094215492552,25.426608634380425
381,91.8077527672153,23.00557964632033,99.34626629757427,25.601115452337222
382,92.00031990456768,23.16783268267704,99.54094398705884,25.776357391305897
383,92.19230947325488,23.33078345063116,99.73497077277365,25.95233395054652
384,92.38371744132073,23.49443169187371,99.92834219136458,26.12904460033753
385,92.57453976437009,23.658777123025924,100.12105376684946,26.3064887817959
386,92.76477238566324,23.823819435479223,100.31310101074013,26.484665906697135
387,92.95441123621204,23.98955829523508,100.50447942216587,26.66357535729553
